,PU_datetime,DO_datetime,trip_distance,PU_lat,PU_long,DO_lat,DO_long
43,2012-03-01 00:19:53,2012-03-01 00:26:35,0.8,40.74197084499985,-74.00779116099989,40.72420155499992,-73.99257987399992
44,2012-03-01 00:31:31,2012-03-01 00:53:06,5.2,40.720234238999886,-73.98447731699999,40.665815079999895,-73.97583132299987
45,2012-03-01 00:15:59,2012-03-01 00:42:19,18.0,40.66358013399984,-73.8250346749999,40.74040257875024,-73.97219641647804
46,2012-03-01 00:43:44,2012-03-01 00:51:57,1.5,40.74040257875024,-73.97219641647804,40.75515238425916,-73.96162927534907
47,2012-03-01 00:13:00,2012-03-01 00:37:30,6.4,40.75532984899993,-73.99117738199989,40.69576842999993,-73.9693409769999
48,2012-03-01 00:39:53,2012-03-01 00:53:44,4.8,40.69632013999994,-73.96062056499981,40.73490456699995,-73.98996936399989
49,2012-03-01 00:56:18,2012-03-01 01:17:40,6.5,40.73490456699995,-73.98996936399989,40.7987185259999,-73.95953658899997
50,2012-03-01 00:00:52,2012-03-01 00:07:04,1.2,40.72153595399992,-73.98377990999991,40.720234238999886,-73.98447731699999
51,2012-03-01 00:09:07,2012-03-01 00:19:32,2.7,40.720234238999886,-73.98447731699999,40.71330630099992,-73.95834207500002
52,2012-03-01 00:27:50,2012-03-01 00:30:54,0.6,40.71330630099992,-73.95834207500002,40.72805372769668,-73.93174841322003
53,2012-03-01 00:32:22,2012-03-01 01:14:21,9.6,40.72805372769668,-73.93174841322003,40.76489773199991,-73.97255352299985
54,2012-03-01 00:20:00,2012-03-01 00:30:00,1.35,40.74542088999988,-73.99096832799995,40.75193959699992,-73.96547092299994
55,2012-03-01 00:46:00,2012-03-01 00:49:00,0.74,40.75519332399994,-73.9712170449999,40.75551634599986,-73.98362433299988
56,2012-03-01 00:30:52,2012-03-01 00:48:45,7.9,40.78603815125499,-73.8712485624251,40.82829635099988,-73.93924885699987
57,2012-03-01 00:57:51,2012-03-01 01:03:35,1.7,40.73804374699991,-73.9963368949999,40.76267135909888,-74.00439976203513
58,2012-03-01 00:02:24,2012-03-01 00:11:34,1.5,40.74044408899989,-74.00201937799989,40.72153595399992,-73.98377990999991
59,2012-03-01 00:19:04,2012-03-01 00:25:46,1.6,40.75515238425916,-73.96162927534907,40.74542088999988,-73.99096832799995
60,2012-03-01 00:35:41,2012-03-01 00:48:39,3.3,40.77351005394221,-73.99667705784736,40.72831405499991,-74.00269315099992
