start_datetime,end_datetime,trip_distance,PU_lat,PU_long,DO_lat,DO_long,temp,visibility,wind_speed,rain_1h,snow_1h,weather,PU_pop_count,DO_pop_count,special_events,drive_events,
2012-01-01 0:26,2012-01-01 0:35,1.5,40.72470155,-74.0093176,40.72023424,-73.98447732,11.24,10000,7.7,0,0,overcast clouds,307.87784,190.41333,Basketball game,Construction,
2012-01-01 0:36,2012-01-01 1:20,7.5,40.72023424,-73.98447732,40.78285909,-73.94383257,11.24,10000,7.7,0,0,overcast clouds,190.41333,190.41333,NaN,Construction,
2012-01-01 0:12,2012-01-01 0:14,0.3,40.78596739,-73.96884379,40.78596739,-73.96884379,11.24,10000,7.7,0,0,overcast clouds,128.92758,128.92758,Basketball game,Construction,
2012-01-01 0:16,2012-01-01 0:22,1.2,40.78768561,-73.97501417,40.76772506,-73.98147899,11.24,10000,7.7,0,0,overcast clouds,349.79166,398.6925,Concert,NaN,
2012-01-01 0:23,2012-01-01 0:29,1.7,40.76772506,-73.98147899,40.78596739,-73.96884379,11.24,10000,7.7,0,0,overcast clouds,398.6925,128.92758,Track & Field,NaN,
2012-01-01 0:50,2012-01-01 0:58,2.1,40.85131543,-73.94068822,40.82197589,-73.95357263,11.24,10000,7.7,0,0,overcast clouds,307.6741,307.6741,Concert,NaN,
2012-01-01 0:04,2012-01-01 0:14,1.8,40.71913288,-73.97635525,40.72901638,-74.00250642,11.24,10000,7.7,0,0,overcast clouds,211.1958,211.1958,Track & Field,NaN,
2012-01-01 0:15,2012-01-01 0:24,1.6,40.72901638,-74.00250642,40.73490457,-73.98996936,11.24,10000,7.7,0,0,overcast clouds,211.1958,227.92868,Concert,Construction,
2012-01-01 0:28,2012-01-01 0:36,1,40.73490457,-73.98996936,40.74044409,-74.00201938,11.24,10000,7.7,0,0,overcast clouds,227.92868,332.85138,Concert,Construction,
2012-01-01 0:37,2012-01-01 0:45,1.4,40.74044409,-74.00201938,40.74394311,-73.9836252,11.24,10000,7.7,0,0,overcast clouds,332.85138,220.42021,Concert,NaN,
2012-01-01 0:46,2012-01-01 1:04,6.1,40.74394311,-73.9836252,40.76077547,-73.90175373,11.24,10000,7.7,0,0,overcast clouds,220.42021,220.42021,Concert,NaN,
2012-01-01 0:19,2012-01-01 0:51,6.1,40.76489773,-73.97255352,40.72470155,-74.0093176,11.24,10000,7.7,0,0,overcast clouds,307.87784,307.87784,Football game,Construction,
2012-01-01 0:53,2012-01-01 0:58,0.9,40.7735999,-73.9577938,40.75987972,-73.96177668,11.24,10000,7.7,0,0,overcast clouds,360.04886,0.2974199,Concert,Construction,
2012-01-01 0:09,2012-01-01 0:15,1,40.75987972,-73.96177668,40.77301984,-73.95218622,11.24,10000,7.7,0,0,overcast clouds,0.2974199,742.5289,Show,NaN,
2012-01-01 0:17,2012-01-01 0:20,1,40.75987972,-73.96177668,40.77301984,-73.95218622,11.24,10000,7.7,0,0,overcast clouds,0.2974199,742.5289,Concert,NaN,
2012-01-01 0:32,2012-01-01 0:38,0.7,40.74580497,-73.97203331,40.75519332,-73.97121704,11.24,10000,7.7,0,0,overcast clouds,357.80237,153.63757,Show,NaN,
2012-01-01 0:42,2012-01-01 0:54,0.8,40.75529969,-73.97534378,40.74394311,-73.9836252,11.24,10000,7.7,0,0,overcast clouds,220.42021,220.42021,NaN,NaN,
2012-01-01 0:55,2012-01-01 1:03,1.3,40.74394311,-73.9836252,40.75519332,-73.97121704,11.24,10000,7.7,0,0,overcast clouds,220.42021,153.63757,Kids show/performance,NaN,
2012-01-01 0:48,2012-01-01 0:59,4.1,40.70503079,-74.01332611,40.72420155,-73.99257987,11.24,10000,7.7,0,0,overcast clouds,185.61374,185.61374,Concert,Construction,
2012-01-01 0:36,2012-01-01 0:43,1,40.74580497,-73.97203331,40.74040258,-73.97219642,11.24,10000,7.7,0,0,overcast clouds,357.80237,113.75739,Kids show/performance,Construction,
2012-01-01 0:43,2012-01-01 0:49,0.7,40.74040258,-73.97219642,40.73490457,-73.98996936,11.24,10000,7.7,0,0,overcast clouds,113.75739,227.92868,Tennis tournament,Construction,
2012-01-01 0:16,2012-01-01 0:31,3.3,40.75532985,-73.99117738,40.7198208,-74.00152364,11.24,10000,7.7,0,0,overcast clouds,0.8986127,18.11046,Concert,NaN,
2012-01-01 0:32,2012-01-01 0:40,1.7,40.7198208,-74.00152364,40.73804375,-73.99633689,11.24,10000,7.7,0,0,overcast clouds,18.11046,276.9863,NaN,Construction,
2012-01-01 0:42,2012-01-01 0:49,1.5,40.73804375,-73.99633689,40.76267136,-74.00439976,11.24,10000,7.7,0,0,overcast clouds,276.9863,276.9863,Concert,Construction,
