Event Type,Latitude,Longitude,start_datetime,end_datetime
Construction,40.86,-74.04,2012-10-09 23:38:42,2012-10-10 00:37:42
Construction,40.86,-74.04,2012-10-10 00:38:42,2012-10-10 01:37:42
Construction,40.86,-74.04,2012-10-10 01:38:42,2012-10-10 02:37:42
Construction,40.86,-74.04,2012-10-10 02:38:42,2012-10-10 03:37:42
Construction,40.86,-74.04,2012-10-10 03:38:42,2012-10-10 04:37:42
Construction,40.86,-74.04,2012-10-10 04:38:42,2012-10-10 05:37:42
Construction,40.86,-74.04,2012-10-10 05:38:42,2012-10-10 06:37:42
Construction,40.86,-74.04,2012-10-10 06:38:42,2012-10-10 07:37:42
Construction,40.86,-74.04,2012-10-10 07:38:42,2012-10-10 08:37:42
Construction,40.86,-74.04,2012-10-10 08:38:42,2012-10-10 09:37:42
Construction,40.86,-74.04,2012-10-10 09:38:42,2012-10-10 10:37:42
Construction,40.86,-74.04,2012-10-10 10:38:42,2012-10-10 11:37:42
Construction,40.86,-74.04,2012-10-10 11:38:42,2012-10-10 12:37:42
Construction,40.86,-74.04,2012-10-10 12:38:42,2012-10-10 13:37:42
Construction,40.86,-74.04,2012-10-10 13:38:42,2012-10-10 14:37:42
Construction,40.86,-74.04,2012-10-10 14:38:42,2012-10-10 15:37:42
Construction,40.86,-74.04,2012-10-10 15:38:42,2012-10-10 16:37:42
Construction,40.86,-74.04,2012-10-10 16:38:42,2012-10-10 17:37:42
Construction,40.86,-74.04,2012-10-10 17:38:42,2012-10-10 18:37:42
Construction,40.86,-74.04,2012-10-10 18:38:42,2012-10-10 19:37:42
Construction,40.86,-74.04,2012-10-10 19:38:42,2012-10-10 20:37:42
Construction,40.86,-74.04,2012-10-10 20:38:42,2012-10-10 21:37:42
Construction,40.86,-74.04,2012-10-10 21:38:42,2012-10-10 22:37:42
Construction,40.86,-74.04,2012-10-10 22:38:42,2012-10-10 23:37:42
Construction,40.86,-74.04,2012-10-10 23:38:42,2012-10-11 00:37:42
Construction,40.86,-74.04,2012-10-11 00:38:42,2012-10-11 01:37:42
Construction,40.86,-74.04,2012-10-11 01:38:42,2012-10-11 02:37:42
Construction,40.86,-74.04,2012-10-11 02:38:42,2012-10-11 03:37:42
Construction,40.86,-74.04,2012-10-11 03:38:42,2012-10-11 04:37:42
Construction,40.86,-74.04,2012-10-11 04:38:42,2012-10-11 05:37:42
Construction,40.86,-74.04,2012-10-11 05:38:42,2012-10-11 06:37:42
Construction,40.86,-74.04,2012-10-11 06:38:42,2012-10-11 07:37:42
Construction,40.86,-74.04,2012-10-11 07:38:42,2012-10-11 08:37:42
Construction,40.86,-74.04,2012-10-11 08:38:42,2012-10-11 09:37:42
Construction,40.86,-74.04,2012-10-11 09:38:42,2012-10-11 10:37:42
Construction,40.86,-74.04,2012-10-11 10:38:42,2012-10-11 11:37:42
Construction,40.86,-74.04,2012-10-11 11:38:42,2012-10-11 12:37:42
Construction,40.86,-74.04,2012-10-11 12:38:42,2012-10-11 13:37:42
Construction,40.86,-74.04,2012-10-11 13:38:42,2012-10-11 14:37:42
Construction,40.86,-74.04,2012-10-11 14:38:42,2012-10-11 15:37:42
Construction,40.86,-74.04,2012-10-11 15:38:42,2012-10-11 16:37:42
Construction,40.86,-74.04,2012-10-11 16:38:42,2012-10-11 17:37:42
Construction,40.86,-74.04,2012-10-11 17:38:42,2012-10-11 18:37:42
Construction,40.86,-74.04,2012-10-11 18:38:42,2012-10-11 19:37:42
Construction,40.86,-74.04,2012-10-11 19:38:42,2012-10-11 20:37:42
Construction,40.86,-74.04,2012-10-11 20:38:42,2012-10-11 21:37:42
Construction,40.86,-74.04,2012-10-11 21:38:42,2012-10-11 22:37:42
Construction,40.86,-74.04,2012-10-11 22:38:42,2012-10-11 23:37:42
Construction,40.86,-74.04,2012-10-11 23:38:42,2012-10-12 00:37:42
Construction,40.86,-74.04,2012-10-12 00:38:42,2012-10-12 01:37:42
Construction,40.86,-74.04,2012-10-12 01:38:42,2012-10-12 02:37:42
Construction,40.86,-74.04,2012-10-12 02:38:42,2012-10-12 03:37:42
Construction,40.86,-74.04,2012-10-12 03:38:42,2012-10-12 04:37:42
Construction,40.86,-74.04,2012-10-12 04:38:42,2012-10-12 05:37:42
Construction,40.86,-74.04,2012-10-12 05:38:42,2012-10-12 06:37:42
Construction,40.86,-74.04,2012-10-12 06:38:42,2012-10-12 07:37:42
Construction,40.86,-74.04,2012-10-12 07:38:42,2012-10-12 08:37:42
Construction,40.86,-74.04,2012-10-12 08:38:42,2012-10-12 09:37:42
Construction,40.86,-74.04,2012-10-12 09:38:42,2012-10-12 10:37:42
Construction,40.86,-74.04,2012-10-12 10:38:42,2012-10-12 11:37:42
Construction,40.86,-74.04,2012-10-12 11:38:42,2012-10-12 12:37:42
Construction,40.86,-74.04,2012-10-12 12:38:42,2012-10-12 13:37:42
Construction,40.86,-74.04,2012-10-12 13:38:42,2012-10-12 14:37:42
Construction,40.86,-74.04,2012-10-12 14:38:42,2012-10-12 15:37:42
Construction,40.86,-74.04,2012-10-12 15:38:42,2012-10-12 16:37:42
Construction,40.86,-74.04,2012-10-12 16:38:42,2012-10-12 17:37:42
Construction,40.86,-74.04,2012-10-12 17:38:42,2012-10-12 18:37:42
Construction,40.86,-74.04,2012-10-12 18:38:42,2012-10-12 19:37:42
Construction,40.86,-74.04,2012-10-12 19:38:42,2012-10-12 20:37:42
Construction,40.86,-74.04,2012-10-12 20:38:42,2012-10-12 21:37:42
