Event Type,Create Time,Close Time,Latitude,Longitude
Football game,2012-08-29 10:22:19,2012-09-20 01:04:00,40.81,-74.07
Football game,2012-08-29 10:20:26,2012-09-12 05:30:00,40.81,-74.07
Basketball game,2012-08-27 09:55:00,2012-12-29 10:47:00,40.68,-73.97
Basketball game,2012-08-27 09:52:39,2012-12-28 10:48:00,40.68,-73.97
Basketball game,2012-08-27 09:50:35,2012-12-25 03:18:00,40.68,-73.97
Basketball game,2012-08-27 09:49:02,2012-12-23 07:18:00,40.68,-73.97
Basketball game,2012-08-27 09:45:24,2012-12-18 10:48:00,40.68,-73.97
Basketball game,2012-08-27 09:42:52,2012-12-14 10:47:00,40.68,-73.97
Basketball game,2012-08-27 09:27:31,2012-11-20 12:26:00,40.68,-73.97
Basketball game,2012-08-27 09:23:10,2012-11-03 10:48:00,40.68,-73.97
Football game,2012-08-24 10:15:24,2012-09-09 04:18:00,40.81,-74.07
Football game,2012-08-24 10:13:35,2012-09-08 06:47:00,40.81,-74.07
Football game,2012-08-24 10:11:19,2012-09-05 11:49:00,40.81,-74.07
Football game,2012-08-24 10:02:45,2012-08-29 10:38:00,40.81,-74.07
Football game,2012-08-24 09:59:52,2012-08-26 11:16:00,40.81,-74.07
Football game,2012-08-24 09:56:21,2012-08-24 11:23:00,40.81,-74.07
Basketball game,2012-08-21 09:38:39,2012-12-23 07:44:00,40.75,-73.98
Basketball game,2012-08-21 09:37:04,2012-12-21 10:47:00,40.75,-73.98
Basketball game,2012-08-21 09:35:34,2012-12-19 10:17:00,40.75,-73.98
Basketball game,2012-08-21 09:34:31,2012-11-20 12:26:00,40.75,-73.98
Basketball game,2012-08-21 09:32:44,2012-12-15 10:48:00,40.74,-73.98
Basketball game,2012-08-21 09:30:25,2012-12-13 11:18:00,40.75,-73.98
Basketball game,2012-08-21 09:29:04,2012-10-29 10:08:00,40.68,-73.97
Basketball game,2012-08-21 09:27:32,2012-10-30 05:35:00,40.75,-73.98
Basketball game,2012-08-21 09:25:39,2012-10-29 10:08:00,40.75,-73.98
Basketball game,2012-08-21 09:23:50,2012-10-30 05:35:00,40.75,-73.98
Basketball game,2012-08-21 09:22:30,2012-11-25 04:17:00,40.75,-73.98
Basketball game,2012-08-21 09:20:48,2012-09-19 08:11:00,40.75,-73.98
Basketball game,2012-08-21 09:18:45,2012-10-30 05:35:00,40.75,-73.98
Basketball game,2012-08-21 09:16:52,2012-10-29 10:08:00,40.75,-73.98
Basketball game,2012-08-21 09:13:46,2012-11-02 11:18:00,40.75,-73.98
Show,2012-08-15 12:27:22,2012-12-28 10:18:00,40.75,-73.98
Show,2012-08-15 12:20:25,2012-12-30 09:18:00,40.75,-73.98
Show,2012-08-15 12:02:52,2012-12-24 06:47:00,40.75,-73.98
Show,2012-08-15 11:53:36,2012-12-23 12:16:00,40.75,-73.98
Show,2012-08-14 09:53:45,2012-12-16 11:18:00,40.75,-73.98
Show,2012-08-14 09:46:01,2012-12-21 11:16:00,40.75,-73.98
Show,2012-08-14 09:25:20,2012-12-02 10:18:00,40.75,-73.98
Show,2012-08-14 09:15:52,2012-10-29 10:08:00,40.75,-73.98
Show,2012-08-14 09:07:44,2012-12-20 04:17:00,40.75,-73.98
Show,2012-08-14 08:57:07,2012-09-26 02:38:00,40.75,-73.98
Show,2012-08-14 08:46:20,2012-10-29 10:08:00,40.75,-73.98
Kids show/performance,2012-08-14 08:10:59,2012-12-30 06:18:00,40.74,-73.98
Kids show/performance,2012-08-14 08:07:16,2012-12-28 04:18:00,40.74,-73.98
Kids show/performance,2012-08-14 08:03:24,2012-12-28 09:18:00,40.74,-73.98
Show,2012-08-14 06:59:19,2012-10-30 05:35:00,40.78,-73.98
Concert,2012-08-14 06:56:43,2012-10-29 10:08:00,40.78,-73.98
Kids show/performance,2012-08-14 06:54:50,2012-09-19 08:11:00,40.74,-73.98
Show,2012-08-14 06:49:42,2012-10-29 10:08:00,40.74,-73.98
Concert,2012-08-14 06:36:13,2012-09-19 08:11:00,40.74,-73.98
Concert,2012-08-14 06:34:21,2012-10-29 10:08:00,40.78,-73.98
Concert,2012-08-14 06:32:14,2012-09-19 08:11:00,40.78,-73.98
Show,2012-08-14 06:30:18,2012-09-26 02:38:00,40.78,-73.98
Show,2012-08-14 06:28:29,2012-09-19 08:11:00,40.78,-73.98
Concert,2012-08-14 06:08:30,2012-09-19 08:11:00,40.78,-73.98
Concert,2012-08-14 06:00:04,2012-09-22 06:37:00,40.78,-73.98
Concert,2012-08-13 10:25:17,2012-09-26 02:38:00,40.78,-73.98
Show,2012-08-13 10:23:33,2012-09-19 08:11:00,40.78,-73.98
Concert,2012-08-13 10:21:58,2012-09-22 06:37:00,40.78,-73.98
Concert,2012-08-13 10:20:43,2012-09-19 08:11:00,40.78,-73.98
Concert,2012-08-13 10:19:42,2012-09-22 06:37:00,40.78,-73.98
Concert,2012-08-13 10:17:13,2012-09-19 08:11:00,40.75,-73.98
Show,2012-08-13 10:15:26,2012-09-22 06:37:00,40.78,-73.98
Concert,2012-08-13 10:13:26,2012-09-19 08:11:00,40.78,-73.98
Concert,2012-08-13 10:10:44,2012-09-19 08:11:00,40.75,-73.98
Concert,2012-08-13 10:09:14,2012-09-28 11:17:00,40.75,-73.98
Concert,2012-08-13 10:02:55,2012-09-22 06:37:00,40.78,-73.98
Concert,2012-08-13 10:00:14,2012-09-25 11:18:00,40.75,-73.98
Concert,2012-08-13 09:59:05,2012-09-24 11:18:00,40.75,-73.98
Concert,2012-08-13 09:56:22,2012-09-23 11:19:00,40.75,-73.98
Concert,2012-08-13 09:54:03,2012-09-13 10:48:00,40.78,-73.98
Concert,2012-08-13 09:51:40,2012-09-12 10:48:00,40.78,-73.98
Show,2012-08-13 09:41:42,2012-09-22 06:37:00,40.75,-73.98
Tennis tournament,2012-08-13 09:39:01,2012-09-19 08:11:00,40.75,-73.98
Football game,2012-08-13 06:42:03,2012-12-23 04:18:00,40.83,-74.07
Football game,2012-08-13 06:39:49,2012-09-22 06:37:00,40.83,-74.07
Football game,2012-08-13 06:38:10,2012-10-29 10:08:00,40.83,-74.07
Football game,2012-08-13 06:36:29,2012-09-22 06:37:00,40.83,-74.07
Football game,2012-08-13 06:34:07,2012-09-19 08:11:00,40.83,-74.07
Football game,2012-08-13 06:32:26,2012-09-14 04:34:00,40.83,-74.07
Football game,2012-08-13 06:31:06,2012-09-14 04:34:00,40.83,-74.07
Football game,2012-08-13 06:23:25,2012-09-09 04:18:00,40.83,-74.07
Football game,2012-08-13 06:20:13,2012-08-26 11:19:00,40.83,-74.07
Football game,2012-08-13 06:03:36,2012-12-30 04:18:00,40.83,-74.07
Football game,2012-08-13 06:01:17,2012-09-19 08:11:00,40.83,-74.07
Football game,2012-08-13 05:41:39,2012-10-29 10:08:00,40.83,-74.07
Football game,2012-08-13 05:39:30,2012-09-19 08:11:00,40.83,-74.07
Football game,2012-08-13 05:37:10,2012-10-21 04:18:00,40.83,-74.07
Football game,2012-08-13 05:35:13,2012-09-14 04:34:00,40.83,-74.07
Football game,2012-08-13 05:32:54,2012-09-16 04:17:00,40.83,-74.07
Football game,2012-08-13 05:30:33,2012-09-05 11:48:00,40.83,-74.07
Football game,2012-08-13 05:27:32,2012-08-29 10:49:00,40.83,-74.07
Football game,2012-08-13 05:23:45,2012-08-24 11:19:00,40.83,-74.07
Football game,2012-08-13 05:21:41,2012-08-18 10:16:00,40.83,-74.07
Soccer game,2012-08-13 02:37:43,2012-08-15 11:48:00,40.75,-73.84
Hockey game,2012-08-02 12:29:48,2012-11-01 07:19:00,40.75,-73.99
Hockey game,2012-08-02 12:28:44,2012-09-19 08:11:00,40.75,-73.99
Hockey game,2012-08-02 12:21:48,2012-12-12 09:50:00,40.75,-73.99
Hockey game,2012-08-02 10:58:39,2012-11-15 06:09:00,40.75,-73.99
Hockey game,2012-08-02 10:41:34,2012-12-12 09:50:00,40.75,-73.99
Hockey game,2012-08-02 10:32:02,2012-10-30 05:35:00,40.75,-73.99
Hockey game,2012-08-02 10:23:21,2012-09-19 08:11:00,40.75,-73.99
Hockey game,2012-08-02 10:21:55,2012-10-30 05:35:00,40.75,-73.99
Special event,2012-07-30 09:25:25,2012-08-02 02:16:00,40.81,-74.07
Concert,2012-07-27 08:39:10,2012-10-29 10:08:00,40.75,-73.98
Concert,2012-07-16 09:38:20,2012-09-23 12:17:00,40.83,-74.07
Football game,2012-07-16 09:36:25,2012-09-08 06:47:00,40.81,-74.07
Concert,2012-07-16 09:34:37,2012-08-11 10:46:00,40.81,-74.07
Special event,2012-07-16 09:32:27,2012-08-05 11:18:00,40.81,-74.07
Concert,2012-07-16 09:23:31,2012-10-29 10:08:00,40.81,-74.06
Kids show/performance,2012-07-16 09:21:45,2012-10-29 10:08:00,40.81,-74.06
Concert,2012-07-16 09:12:57,2012-11-09 10:17:00,40.81,-74.06
Wrestling,2012-07-16 09:11:22,2012-10-22 10:33:00,40.81,-74.06
Show,2012-07-16 09:09:23,2012-09-30 09:48:00,40.81,-74.06
Kids show/performance,2012-07-16 09:05:37,2012-09-15 07:49:00,40.81,-74.06
Kids show/performance,2012-07-16 09:00:38,2012-08-12 05:18:00,40.81,-74.06
Concert,2012-07-16 08:57:53,2012-08-10 11:49:00,40.81,-74.06
