Event Type,Organization Name,Facility Name,Direction,City,County,State,Create Time,Close Time,Event Description,Responding Organization Id,Latitude,Longitude,Georeference
flooding,New Jersey DOT - Statewide Traffic Management Center,I-80,Westbound,ramp to Rockaway Twp,Morris,NJ,02/24/2016 11:27:24 PM,02/25/2016 03:11:30 AM,Flooding on I-80 westbound ramp to Exit 35 - Mount Hope Av (Rockaway Twp) exit ramp 35A closed,New Jersey DOT - Statewide Traffic Management Center,40.910536,-74.549759,POINT (-74.549759 40.910536)
special event,NJ DOT - TOC South,NJ 49,both directions,Salem,Salem,NJ,12/23/2011 09:00:00 AM,12/23/2011 03:01:00 AM,"NJ DOT - TOC South: Special event, parade on NJ 49 both directions NJ 45 (Salem)  all lanes closed  until 3:00 P.M.",NJ DOT - TOC South,39.57,-75.46,POINT (-75.46 39.57)
accident,New Jersey Turnpike Authority,Garden State Parkway,Southbound,,,NJ,02/24/2016 12:19:15 PM,02/24/2016 12:45:18 PM,Accident on Garden State Parkway southbound to Exit 171 - Glen Rd to Chestnut Ridge Rd (Woodcliff Lake) right lane blocked,New Jersey Turnpike Authority,41.034957,-74.071328,POINT (-74.071328 41.034957)
fire department activity,New York State Department of Transportation (Region 11),W 34TH ST,Westbound,between New York,New York,NY,01/03/2022 07:30:20 PM,01/03/2022 07:44:48 PM,,New York State Department of Transportation (Region 11),40.754042,-73.997857,POINT (-73.997857 40.754042)
delays,New Jersey DOT - Statewide Traffic Management Center,NJ 4,Westbound,between Teaneck Twp,Bergen,NJ,02/25/2016 03:33:35 PM,02/25/2016 07:02:23 PM,Delays on NJ 4 westbound between River Rd (Teaneck Twp) and NJ 17 (Paramus) delays due to volume,New Jersey DOT - Statewide Traffic Management Center,40.900856,-74.028343,POINT (-74.028343 40.900856)
accident,NYSDOT,I-90 - NYS Thruway,Westbound,,Albany,NY,06/18/2015 08:09:00 AM,06/18/2015 09:08:00 AM,"accident on I-90 - NYS Thruway westbound at Exit 24 (I-90) - Albany (I-87 - I-90) starting 8:10 AM, 06/18/2015 until further notice.",NYSDOT,42.70161,-73.84875,POINT (-73.84875 42.70161)
accident,New Jersey DOT - Statewide Traffic Management Center,US 22,Eastbound,Bound Brook,Somerset,NJ,02/25/2016 04:48:23 PM,02/25/2016 05:23:38 PM,Accident on US 22 eastbound West of CR 527/Mountain Ave (Bound Brook) right lane closed 10-15 minute delay,New Jersey DOT - Statewide Traffic Management Center,40.578298,-74.531959,POINT (-74.531959 40.578298)
incident,MTA NYC Transit Bus,BM4 Bus,,out of New York,Kings,NY,01/03/2022 07:34:12 AM,01/03/2022 12:33:52 PM,,MTA NYC Transit Bus,40.58808,-73.919945,POINT (-73.919945 40.58808)
incident,MTA NYC Transit Bus,BM5 Bus,,out of New York,Kings,NY,01/03/2022 07:35:45 AM,01/03/2022 10:21:05 AM,,MTA NYC Transit Bus,40.66647,-73.8729,POINT (-73.8729 40.66647)
incident,NJ Transit Bus,13 Bus,Northbound,between Irvington Twp,Essex,NJ,01/03/2022 07:35:53 PM,01/03/2022 07:58:50 PM,,NJ Transit Bus,40.726627,-74.227103,POINT (-74.227103 40.726627)
incident,NJ Transit Bus,30 Bus,Northbound,between Newark,Essex,NJ,01/03/2022 07:37:19 PM,01/03/2022 08:19:48 PM,,NJ Transit Bus,40.734928,-74.164003,POINT (-74.164003 40.734928)
incident,NJ Transit Bus,40 Bus,Both directions,between North Arlington,Bergen,NJ,01/03/2022 07:39:23 PM,01/03/2022 10:42:53 PM,,NJ Transit Bus,40.783759,-74.1373,POINT (-74.1373 40.783759)
incident,NJ Transit Rail,Hudson Bergen Light Rail,,out of North Bergen Twp,Hudson,NJ,01/03/2022 07:39:24 AM,01/03/2022 08:37:43 AM,,NJ Transit Rail,40.78733,-74.031263,POINT (-74.031263 40.78733)
delays,CT DOT-Bridgeport-Oper,S15N,northbound,NORWALK,Fairfield,CT,10/19/2012 07:06:32 AM,10/19/2012 07:40:00 AM,"ConnDOT: Delays. RT15 Northbound is congested between Exits 40B and 44 (8.7 miles). Reported Friday, October 19 at 7:06 pm.",CT DOT-Bridgeport-Oper,41.14,-73.41,POINT (-73.41 41.14)
snow,WTA,NY 73,both directions,,,NY,01/07/2010 12:58:36 PM,01/07/2010 05:06:18 AM,WTA: snow on NY 73 both directions between NY 9N in Keene and Wilmington Road; Main Street; NY 86 in North Elba,WTA,44.25,-73.79,POINT (-73.79 44.25)
incident,NJ Transit Rail,Hudson Bergen Light Rail,,out of Hoboken,Hudson,NJ,01/03/2022 07:43:40 AM,01/03/2022 08:41:09 AM,,NJ Transit Rail,40.734059,-74.029192,POINT (-74.029192 40.734059)
accident,NYSDOT,I-90 - NYS Thruway,Westbound,,Erie,NY,02/25/2016 10:10:00 PM,02/25/2016 11:07:06 PM,"accident on I-90 - NYS Thruway eastbound at Exit 50A (I-90) - Buffalo - Cleveland Dr starting 10:08 PM, 02/25/2016 until further notice.",NYSDOT,42.945191,-78.766344,POINT (-78.766344 42.945191)
drawbridge open,New Jersey DOT - Statewide Traffic Management Center,US 1&9 Truck Route,Both directions,at Kearny/Jersey City,Hudson,NJ,04/13/2015 10:03:00 AM,,Drawbridge open on US 1&9 Truck Route both directions at Hackensack River Drawbridge (Kearny/Jersey City) all lanes temporarily blocked,New Jersey DOT - Statewide Traffic Management Center,40.728237,-74.102223,POINT (-74.102223 40.728237)
incident,MTA NYC Transit Bus,BxM7 Bus,,New York,New York,NY,01/03/2022 08:27:15 PM,01/04/2022 12:25:55 AM,,MTA NYC Transit Bus,40.754111,-73.980576,POINT (-73.980576 40.754111)
construction,New York State Thruway-State Wide Operations Center - Albany,I-90 - NYS Thruway,Westbound,from Florida,Montgomery,NY,01/03/2022 07:44:56 AM,01/03/2022 03:26:54 PM,,New York State Thruway-State Wide Operations Center - Albany,42.932221,-74.269694,POINT (-74.269694 42.932221)
special event,TRANSCOM,Tappan Zee Bridge,Northbound,Tarrytown,Westchester,NY,04/26/2016 01:28:00 PM,04/26/2016 01:32:00 PM,Special event on Tappan Zee Bridge northbound Westchester County side (Tarrytown) all lanes open to traffic test message - please ignore,TRANSCOM,41.06714,-73.89471,POINT (-73.89471 41.06714)
,NYSDOT,FDR Dr S,,,,,05/29/2022 11:26:10 PM,05/29/2022 11:38:10 PM,,NYSDOT,40.740759,-73.972888,POINT (-73.972888 40.740759)
