Event Type,Organization Name,Facility Name,Direction,City,County,State,Create Time,Close Time,Event Description,Responding Organization Id,Latitude,Longitude,Georeference
construction,Port Authority New York/New Jersey,George Washington Bridge,Westbound,ramp to Fort Lee,Bergen,NJ,01/03/2022 06:46:03 AM,01/03/2022 02:31:00 PM,,Port Authority New York/New Jersey,40.853985,-73.962651,POINT (-73.962651 40.853985)
disabled vehicle,New York State Department of Transportation (Region 8),I-684,Southbound,Lewisboro,Westchester,NY,01/03/2022 06:47:00 AM,01/03/2022 07:02:45 AM,,New York State Department of Transportation (Region 8),41.2952,-73.677001,POINT (-73.677001 41.2952)
incident,MTA NYC Transit Subway,N Line,Northbound,at Manhattan,New York,NY,02/22/2016 01:23:07 AM,02/22/2016 01:28:08 AM,"Due to Track work, northbound N Line bypassing at 49th Street Station (Manhattan)",MTA NYC Transit Subway,40.760456,-73.983776,POINT (-73.983776 40.760456)
special event,"TRANSCOM, Jersey City",Barclays Center,,,Kings,NY,08/02/2013 07:00:00 AM,08/02/2013 10:02:00 AM,"TRANSCOM, Jersey City: Special event, concert on Barclays Center (Kings)   until 10:00 P.M. Justin Bieber","TRANSCOM, Jersey City",40.68335805,-73.97659311,POINT (-73.97659311 40.68335805)
delays,NJ DOT - STMC,US 202,northbound,Wayne Twp,Passaic,NJ,08/01/2013 05:24:00 AM,08/01/2013 06:24:00 AM,NJ DOT - STMC: Delays on US 202 northbound area of Packanack Lake Rd (Wayne Twp)  delays due to volume,NJ DOT - STMC,40.93265931,-74.26901185,POINT (-74.26901185 40.93265931)
delays,New Jersey DOT - Statewide Traffic Management Center,I-287,Northbound,between Edison Twp,Middlesex,NJ,06/02/2015 08:29:00 AM,06/02/2015 10:17:00 AM,Delays on I-287 northbound between New Jersey Turnpike (Edison Twp) and Exit 4 - Durham Rd (South Plainfield) delays due to volume,New Jersey DOT - Statewide Traffic Management Center,40.52842,-74.336959,POINT (-74.336959 40.52842)
delays,New Jersey DOT - Statewide Traffic Management Center,US 1&9,Southbound,between Linden,Union,NJ,02/22/2016 03:22:10 PM,02/22/2016 06:17:01 PM,Delays on US 1&9 southbound between Woodlawn Av (Linden) and Stiles St (Linden) delays due to volume,New Jersey DOT - Statewide Traffic Management Center,40.630304,-74.239835,POINT (-74.239835 40.630304)
,NYSDOT,I-287 E,,,,,09/23/2022 10:06:30 AM,09/23/2022 11:02:20 AM,,NYSDOT,41.028644,-73.737498,POINT (-73.737498 41.028644)
construction,MTA NYC Transit Subway,N Line,Queens bound,from Brooklyn,Kings,NY,02/22/2016 04:24:00 PM,03/04/2016 05:16:50 AM,"Due to Construction, Queens Bound N Line from Dekalb Avenue Station (Brooklyn) to Canal Street Station (Manhattan) Not currently scheduled",MTA NYC Transit Subway,40.689981,-73.981648,POINT (-73.981648 40.689981)
incident,MTA NYC Transit Subway,R Line,Both directions,between New York,Queens,NY,01/03/2022 06:50:34 AM,01/03/2022 09:15:50 AM,,MTA NYC Transit Subway,40.721691,-73.844521,POINT (-73.844521 40.721691)
delays,New Jersey DOT - Statewide Traffic Management Center,NJ 24,Eastbound,Millburn Twp,Essex,NJ,04/29/2015 08:12:00 AM,04/29/2015 10:07:00 AM,Delays on NJ 24 eastbound Exit 7 - NJ 124/JFK Parkway (Millburn Twp) delays due to volume,New Jersey DOT - Statewide Traffic Management Center,40.739627,-74.369338,POINT (-74.369338 40.739627)
delays,Connecticut Department of Transportation Bridgeport-Operations,I95S,Southbound,at Stamford,Fairfield,CT,02/22/2016 05:34:10 PM,02/22/2016 07:28:00 PM,"Delays. I-95 Southbound is congested between Exits 8 and 5 (3.1 miles). Reported Monday, February 22 at 5:30 pm.",Connecticut Department of Transportation Bridgeport-Operations,41.055225,-73.521241,POINT (-73.521241 41.055225)
snow,WTA,NY 177,both directions,Adams,Jefferson,NY,01/11/2010 07:59:42 AM,01/11/2010 10:22:10 AM,WTA: snow on NY 177 both directions between I-81 At Fence Line-West of Ramps in Adams and END ROUTE NY 177; NY 12 in Lowville,WTA,43.86,-76.01,POINT (-76.01 43.86)
tree trimming,New Jersey Department of Transportation - Traffic Operations Center South,NJ 70,Westbound,Pemberton Twp,Burlington,NJ,01/03/2022 06:52:51 PM,01/04/2022 03:17:01 PM,,New Jersey Department of Transportation - Traffic Operations Center South,39.902142,-74.585748,POINT (-74.585748 39.902142)
,NYSDOT,Grand Central Pkwy E,,,,,05/29/2022 11:01:13 AM,05/29/2022 11:32:13 AM,,NYSDOT,40.726167,-73.766798,POINT (-73.766798 40.726167)
utility work,New Jersey DOT - Statewide Traffic Management Center,US 206,Northbound,Hillsborough Twp,Somerset,NJ,01/03/2022 07:00:00 AM,02/04/2022 07:51:28 AM,,New Jersey DOT - Statewide Traffic Management Center,40.519704,-74.630243,POINT (-74.630243 40.519704)
,NYSDOT,Cross Island Pkwy S,,,,,05/29/2022 11:01:34 AM,05/29/2022 11:12:11 AM,,NYSDOT,40.771188,-73.762833,POINT (-73.762833 40.771188)
incident,MTA NYC Transit Subway,# 2 & 3 Lines,Southbound,between Manhattan,New York,NY,02/22/2016 08:05:03 AM,02/22/2016 08:23:03 AM,"Due to Sick Customer at 34th Street-Penn Station, southbound # 2 & 3 Lines local service only between 34th Street-Penn Station (Manhattan) and 14th Street Station (Manhattan) expect delays",MTA NYC Transit Subway,40.749717,-73.991653,POINT (-73.991653 40.749717)
wet pavement,WTA,NY 17,both directions,Windsor,Broome,NY,01/24/2010 04:42:58 AM,01/24/2010 05:56:25 AM,WTA: wet pavement on NY 17 both directions between Exit 81 - East Bosket Road in Windsor and Town of Colchester; Town of Rockland Line in Rockland,WTA,42.06,-75.57,POINT (-75.57 42.06)
construction,TRANSCOM,Hudson Terrace,Southbound,from Fort Lee,Bergen,NJ,05/31/2016 09:00:00 PM,05/31/2016 11:04:00 PM,Emergency maintenance on Hudson Terrace southbound from Main Street (Fort Lee) to NJ 5 (Edgewater) all lanes closed until further notice,TRANSCOM,40.849819,-73.964595,POINT (-73.964595 40.849819)
disabled vehicle,NYSDOT,,,,,NY,02/22/2016 08:47:02 AM,02/22/2016 09:18:56 AM,"disabled vehicle on unknown road at 43.298N, 79.797W until 12:46 PM, 02/22/16",NYSDOT,43.298381,-79.797,POINT (-79.797 43.298381)
