Event Type,Organization Name,Facility Name,Direction,City,County,State,Create Time,Close Time,Event Description,Responding Organization Id,Latitude,Longitude
special event,NY Yankees,Yankee Stadium,,,,NY,09/25/2010 03:58:10 AM,09/25/2010 07:10:08 AM,NY Yankees: Special event on Yankee Stadium In the Bronx (Bronx)  New York Yankees vs. Boston Red Sox,"TRANSCOM, Jersey City",40.82,-73.92
special event,Meadowlands Complex,Meadowlands Sports Complex,,,,NJ,09/25/2010 03:17:46 AM,09/25/2010 06:24:04 AM,Meadowlands Complex: Special event on Meadowlands Sports Complex at Giants Stadium (East Rutherford)  Urban League Classic/Howard vs. Morgan State until 6:30 PM,"TRANSCOM, Jersey City",40.81,-74.08
special event,Madison Square Garden,Madison Square Garden,,,,NY,09/24/2010 08:01:43 AM,09/24/2010 10:51:19 AM,Madison Square Garden: Special event on Madison Square Garden at the Arena (Manhattan)  Alice in Chains concert until 11:00 pm,"TRANSCOM, Jersey City",40.75,-73.98
special event,Madison Square Garden,Radio City Music Hall,,,,NY,09/24/2010 08:01:09 AM,09/24/2010 11:07:42 AM,Madison Square Garden: Special event on Radio City Music Hall in Manhattan  Porcupine Tree until 11:15 pm,"TRANSCOM, Jersey City",40.75,-73.98
special event,NY Yankees,Yankee Stadium,,,,NY,09/24/2010 06:59:00 AM,09/24/2010 10:27:15 AM,NY Yankees: Special event on Yankee Stadium In the Bronx (Bronx)  NY Yankees vs. Boston Red Sox,"TRANSCOM, Jersey City",40.82,-73.92
special event,NY Yankees,Yankee Stadium,,,,NY,09/23/2010 06:49:38 AM,09/23/2010 10:40:26 AM,NY Yankees: Special event on Yankee Stadium In the Bronx (Bronx)  NY Yankees vs. Tampa Bay Rays until 10 p.m.,"TRANSCOM, Jersey City",40.82,-73.92
special event,NY Rangers,Madison Square Garden,,,,NY,09/23/2010 06:46:36 AM,09/23/2010 11:01:58 AM,NY Rangers: Special event on Madison Square Garden at the Arena (Manhattan)  NY Rangers vs. NJ Devils until 10 p.m.,"TRANSCOM, Jersey City",40.75,-73.98
special event,NY Yankees,Yankee Stadium,,,,NY,09/22/2010 06:53:56 AM,09/23/2010 12:41:31 PM,NY Yankees: Special event on Yankee Stadium In the Bronx (Bronx)  New York Yankees vs. Tampa Bay Rays,"TRANSCOM, Jersey City",40.82,-73.92
special event,Madison Square Garden,Madison Square Garden,,,,NY,09/21/2010 07:45:46 AM,09/21/2010 11:01:23 AM,Madison Square Garden: Special event on Madison Square Garden at the Arena (Manhattan)  Shakira until 11 p.m.,"TRANSCOM, Jersey City",40.75,-73.98
special event,NY Yankees,Yankee Stadium,,,,NY,09/21/2010 06:52:59 AM,09/21/2010 10:12:14 AM,NY Yankees: Special event on Yankee Stadium In the Bronx (Bronx)  NY Yankees vs. Tampa Bay Rays until 10 p.m.,"TRANSCOM, Jersey City",40.82,-73.92
special event,NY Yankees,Yankee Stadium,,,,NY,09/20/2010 06:53:26 AM,09/20/2010 09:57:23 AM,NY Yankees: Special event on Yankee Stadium In the Bronx (Bronx)  NY Yankees vs. Tampa Bay Rays until 10 p.m.,"TRANSCOM, Jersey City",40.82,-73.92
special event,Nassau Colisieum,Nassau Veterans Memorial Coliseum,,,,NY,09/19/2010 04:24:01 AM,09/19/2010 06:36:15 AM,Nassau Coliseum: Special event on Nassau Veterans Memorial Coliseum at the Coliseum (Hempstead)  Sesame Street Live: Elmo's Healthy Heroes until 6:30 p.m.,"TRANSCOM, Jersey City",40.72,-73.59
special event,Meadowlands Complex,Meadowlands Sports Complex,,,,NJ,09/19/2010 04:08:54 AM,09/19/2010 07:15:08 AM,Meadowlands Complex: Special event on Meadowlands Sports Complex at Giants Stadium (East Rutherford)  NY Jets vs New England Patriots until 7 p.m.,"TRANSCOM, Jersey City",40.81,-74.08
special event,NY Mets,Citi Field,,,,NY,09/19/2010 01:00:51 AM,09/19/2010 04:11:33 AM,NY Mets: Special event on Citi Field in Queens  NY METS vs Atlanta Braves until 4:10pm,"TRANSCOM, Jersey City",40.75,-73.84
special event,Nassau Colisieum,Nassau Veterans Memorial Coliseum,,,,NY,09/18/2010 10:15:53 AM,09/18/2010 12:25:03 PM,Nassau Coliseum: Special event on Nassau Veterans Memorial Coliseum at the Coliseum (Hempstead)  Sesame Street Live: Elmo's Healthy Heroes until 12:30pm,"TRANSCOM, Jersey City",40.72,-73.59
special event,NY Mets,Citi Field,,,,NY,09/18/2010 04:00:37 AM,09/18/2010 07:01:22 AM,NY Mets: Special event on Citi Field in Queens  NY METS vs Atlanta Braves until 7:10 PM,"TRANSCOM, Jersey City",40.75,-73.84
special event,Nassau Colisieum,Nassau Veterans Memorial Coliseum,,,,NY,09/18/2010 01:47:39 AM,09/18/2010 04:02:08 AM,Nassau Coliseum: Special event on Nassau Veterans Memorial Coliseum at the Coliseum (Hempstead)  Sesame Street Live: Elmo's Healthy Heroes until 4pm,"TRANSCOM, Jersey City",40.72,-73.59
special event,Nassau Colisieum,Nassau Veterans Memorial Coliseum,,,,NY,09/17/2010 10:27:21 AM,09/17/2010 12:19:59 PM,Nassau Coliseum: Special event on Nassau Veterans Memorial Coliseum at the Coliseum (Hempstead)  Sesame Street Live: Elmo's Healthy Heroes until 12:30pm,"TRANSCOM, Jersey City",40.72,-73.59
Special event,Madison Square Garden,Radio City Music Hall,,,,NY,09/17/2010 07:47:04 AM,09/17/2010 11:00:49 AM,Madison Square Garden: Special event on Radio City Music Hall in Manhattan  Vampire Weekend from 8 P.M. until 11 P.M.,"TRANSCOM, Jersey City",40.75,-73.98
special event,Nassau Colisieum,Nassau Veterans Memorial Coliseum,,,,NY,09/17/2010 07:06:47 AM,09/17/2010 09:02:12 AM,Nassau Coliseum: Special event on Nassau Veterans Memorial Coliseum at the Coliseum (Hempstead)  Sesame Street Live: Elmo's Healthy Heroes,"TRANSCOM, Jersey City",40.72,-73.59
special event,NY Mets,Citi Field,,,,NY,09/17/2010 07:01:48 AM,09/17/2010 10:38:19 AM,NY Mets: Special event on Citi Field in Queens  NY METS vs Atlanta Braves,"TRANSCOM, Jersey City",40.75,-73.84
special event,Madison Square Garden,Radio City Music Hall,,,,NY,09/16/2010 07:47:41 AM,09/16/2010 10:20:05 AM,Madison Square Garden: Special event on Radio City Music Hall in Manhattan  Vampire Weekend from 8:00pm until 10:00 pm,"TRANSCOM, Jersey City",40.75,-73.98
special event,Nassau Colisieum,Nassau Veterans Memorial Coliseum,,,,NY,09/16/2010 06:49:03 AM,09/16/2010 08:54:07 AM,Nassau Coliseum: Special event on Nassau Veterans Memorial Coliseum at the Coliseum (Hempstead)  Sesame Street Live: Elmo's Healthy Heroes from 7:00pm until 9:00pm,"TRANSCOM, Jersey City",40.72,-73.59
special event,Madison Square Garden,Radio City Music Hall,,,,NY,09/15/2010 07:48:15 AM,09/15/2010 11:36:57 AM,Madison Square Garden: Special event on Radio City Music Hall in Manhattan  Vampire Weekend until 11:00pm,"TRANSCOM, Jersey City",40.75,-73.98
special event,Meadowlands Complex,Meadowlands Sports Complex,,,,NJ,09/13/2010 06:47:38 AM,09/13/2010 10:23:19 AM,Meadowlands Complex: Special event on Meadowlands Sports Complex at Giants Stadium (East Rutherford)  NY Jets vs Baltimore Ravens,"TRANSCOM, Jersey City",40.81,-74.08
special event,NY Mets,Citi Field,,,,NY,09/12/2010 12:54:52 PM,09/12/2010 03:56:16 AM,NY Mets: Special event on Citi Field in Queens  NY METS vs Philadelphia Phillies until 4PM,"TRANSCOM, Jersey City",40.75,-73.84
special event,Meadowlands Complex,Meadowlands Sports Complex,,,,NJ,09/12/2010 12:46:07 PM,09/12/2010 04:55:01 AM,Meadowlands Complex: Special event on Meadowlands Sports Complex at Giants Stadium (East Rutherford)  NY Giants vs Carolina Panthers,"TRANSCOM, Jersey City",40.81,-74.08
special event,NY Mets,Citi Field,,,,NY,09/11/2010 04:19:30 AM,09/11/2010 07:13:39 AM,NY Mets: Special event on Citi Field in Queens  NY METS vs Philadelphia Phillies,"TRANSCOM, Jersey City",40.75,-73.84
special event,NY Mets,Citi Field,,,,NY,09/10/2010 07:04:52 AM,09/10/2010 10:15:42 AM,NY Mets: Special event on Citi Field in Queens  NY METS vs Philadelphia Phillies until 10 p.m.,"TRANSCOM, Jersey City",40.75,-73.84
special event,NY Yankees,Yankee Stadium,,,,NY,09/08/2010 12:51:06 PM,09/08/2010 03:52:02 AM,NY Yankees: Special event on Yankee Stadium In the Bronx (Bronx)  NY Yankees vs. Baltimore Orioles,"TRANSCOM, Jersey City",40.82,-73.92
special event,NY Yankees,Yankee Stadium,,,,NY,09/07/2010 06:54:37 AM,09/07/2010 09:54:09 AM,NY Yankees: Special event on Yankee Stadium In the Bronx (Bronx)  NY Yankees vs. Baltimore Orioles until 10 PM,"TRANSCOM, Jersey City",40.82,-73.92
special event,NY Yankees,Yankee Stadium,,,,NY,09/06/2010 12:53:28 PM,09/06/2010 05:00:31 AM,NY Yankees: Special event on Yankee Stadium In the Bronx (Bronx)  NY Yankees vs. Baltimore Orioles,"TRANSCOM, Jersey City",40.82,-73.92
special event,Madison Square Garden,Madison Square Garden,,,,NY,09/04/2010 07:48:26 AM,09/04/2010 11:07:37 AM,Madison Square Garden: Special event on Madison Square Garden the Arena (Manhattan)  Ivete Sangalo until 11 PM,"TRANSCOM, Jersey City",40.75,-73.98
special event,NY Yankees,Yankee Stadium,,,,NY,09/04/2010 01:03:47 AM,09/04/2010 03:55:13 AM,NY Yankees: Special event on Yankee Stadium In the Bronx (Bronx)  New York Yankees vs Toronto Blue Jays,"TRANSCOM, Jersey City",40.82,-73.92
special event,NY Yankees,Yankee Stadium,,,,NY,09/03/2010 12:51:55 PM,09/03/2010 04:12:16 AM,NY Yankees: Special event on Yankee Stadium In the Bronx (Bronx)  NY Yankees vs Toronto Blue Jays,"TRANSCOM, Jersey City",40.82,-73.92
special event,NY Yankees,Yankee Stadium,,,,NY,09/02/2010 12:54:33 PM,09/02/2010 04:04:50 AM,NY Yankees: Special event on Yankee Stadium In the Bronx (Bronx)  NY Yankees vs Oakland A's,"TRANSCOM, Jersey City",40.82,-73.92
special event,Meadowlands Complex,Meadowlands Sports Complex,,,,NJ,09/02/2010 06:45:33 AM,09/02/2010 11:13:44 AM,Meadowlands Complex: Special event on Meadowlands Sports Complex at Giants Stadium (East Rutherford)  pre season game New England Patriots vs NY Giants,"TRANSCOM, Jersey City",40.81,-74.08
special event,NY Yankees,Yankee Stadium,,,,NY,09/01/2010 06:51:09 AM,09/01/2010 10:16:06 AM,NY Yankees: Special event on Yankee Stadium In the Bronx (Bronx)  NY Yankees vs Oakland A's until 10:05 PM,"TRANSCOM, Jersey City",40.82,-73.92
Special event,NY Yankees,Yankee Stadium,,,,NY,09/01/2010 06:51:06 AM,09/01/2010 06:52:01 AM,NY Yankees: Special event on Yankee Stadium In the Bronx (Bronx)  NY Yankees vs Oakland A's until 10 p.m.,"TRANSCOM, Jersey City",40.82,-73.92
