Event Type,Organization Name,Facility Name,Direction,City,County,State,Create Time,Close Time,Event Description,Responding Organization Id,Latitude,Longitude
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/22/2016 08:10:30 PM,12/22/2016 09:31:23 PM,"Special event, show on Radio City Music Hall (Manhattan) until 9:30 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/22/2016 04:57:25 PM,12/22/2016 06:30:35 PM,"Special event, show on Radio City Music Hall (Manhattan) from 5:00 P.M. until 6:30 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/22/2016 02:05:30 PM,12/22/2016 03:28:31 PM,Special event on Radio City Music Hall (Manhattan) from 2:00 P.M. until 3:30 P.M. Christmas Spectacular Starring the Radio City Rockettes,Madison Square Garden,40.759902,-73.980393
show,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/22/2016 12:31:29 PM,12/22/2016 09:48:32 PM,Show at Radio City Music Hall (Manhattan) Christmas Spectacular Starring the Radio City Rockettes Not currently scheduled,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/22/2016 10:58:34 AM,12/22/2016 12:31:29 PM,Special event on Radio City Music Hall (Manhattan) from 11:00 A.M. until 12:30 P.M. Christmas Spectacular Starring the Radio City Rockettes,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/21/2016 07:58:25 PM,12/21/2016 09:27:29 PM,"Special event, show on Radio City Music Hall (Manhattan) from 8:00 P.M. until 9:30 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/21/2016 02:08:24 PM,12/21/2016 03:31:17 PM,Special event on Radio City Music Hall (Manhattan) from 2:00 P.M. until 3:30 P.M. Christmas Spectacular Starring the Radio City Rockettes,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/21/2016 10:58:30 AM,12/21/2016 12:31:22 PM,"Special event, show on Radio City Music Hall (Manhattan) from 11:00 A.M. until 12:30 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
basketball game,Madison Square Garden,Madison Square Garden,,Manhattan,New York,NY,12/20/2016 11:01:21 PM,12/20/2016 11:16:17 PM,Basketball game at Madison Square Garden the Arena (Manhattan) New York Knicks vs. Indiana Pacers Not currently scheduled,Madison Square Garden,40.750127,-73.989876
special event,Madison Square Garden,Madison Square Garden,,Manhattan,New York,NY,12/20/2016 07:29:18 PM,12/20/2016 10:58:24 PM,"Special event, basketball game on Madison Square Garden the Arena (Manhattan) from 7:30 P.M. until 11:00 P.M. New York Knicks vs. Indiana Pacers",Madison Square Garden,40.750127,-73.989876
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/20/2016 02:06:16 PM,12/20/2016 03:28:16 PM,"Special event, show on Radio City Music Hall (Manhattan) until 3:30 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/20/2016 11:12:18 AM,12/20/2016 12:31:18 PM,"Special event, show on Radio City Music Hall (Manhattan) until 12:30 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/18/2016 08:57:26 PM,12/18/2016 10:31:21 PM,"Special event, show on Radio City Music Hall (Manhattan) from 9:00 P.M. until 10:30 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
football game,Meadowlands Complex,MetLife Stadium,,,Bergen,NJ,12/18/2016 04:01:20 PM,12/18/2016 04:17:24 PM,Football game at MetLife Stadium (East Rutherford) NY Giants vs.Detroit Lions Not currently scheduled,Meadowlands Complex,40.811438,-74.076776
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/18/2016 11:42:21 AM,12/18/2016 12:59:27 PM,Special event on Radio City Music Hall (Manhattan) until 1:00 P.M. Christmas Spectacular Starring the Radio City Rockettes,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Madison Square Garden,,,New York,NY,12/18/2016 10:57:20 AM,12/18/2016 03:57:25 PM,"Special event, basketball game on Madison Square Garden (New York) from 11:00 A.M. until 4:00 P.M. MSG Holiday Festival: Fordham vs. Rutgers & Penn State vs. St. Johns",Madison Square Garden,40.75002,-73.99219
football game,Meadowlands Complex,MetLife Stadium,,,Bergen,NJ,12/17/2016 11:25:37 PM,12/17/2016 11:42:39 PM,Football game at MetLife Stadium (East Rutherford) NY Jets vs. Miami Dolphins Not currently scheduled,Meadowlands Complex,40.811438,-74.076776
concert,Madison Square Garden,Madison Square Garden,,at Manhattan,New York,NY,12/17/2016 11:00:46 PM,12/17/2016 11:17:37 PM,Concert at Madison Square Garden at the Theater (Manhattan) Billy Joel Not currently scheduled,Madison Square Garden,40.749996,-73.988892
special event,Meadowlands Complex,MetLife Stadium,,,Bergen,NJ,12/17/2016 08:23:41 PM,12/17/2016 11:25:37 PM,"Special event, football game on MetLife Stadium (East Rutherford) from 8:25 P.M. until 11:25 P.M. NY Jets vs. Miami Dolphins",Meadowlands Complex,40.811438,-74.076776
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/17/2016 07:27:35 PM,12/17/2016 10:38:40 PM,"Special event, show on Radio City Music Hall (Manhattan) from 7:30 P.M. until 9:00 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Madison Square Garden,,Manhattan,New York,NY,12/17/2016 06:58:35 PM,12/17/2016 08:31:44 PM,"Special event, kids show/performance on Madison Square Garden the Theater (Manhattan) from 7:00 P.M. until 8:30 P.M. Rudolph the Red-Nosed Reindeer: The Musical",Madison Square Garden,40.749996,-73.988892
show,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/17/2016 06:01:45 PM,12/18/2016 10:48:18 PM,Show at Radio City Music Hall (Manhattan) Christmas Spectacular Starring the Radio City Rockettes Not currently scheduled,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/17/2016 04:26:34 PM,12/17/2016 05:57:40 PM,"Special event, show on Radio City Music Hall (Manhattan) from 4:30 P.M. until 6:00 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Madison Square Garden,,Manhattan,New York,NY,12/17/2016 02:57:38 PM,12/17/2016 04:31:34 PM,"Special event, kids show/performance on Madison Square Garden the Theater (Manhattan) from 3:00 P.M. until 4:30 P.M. Rudolph the Red-Nosed Reindeer: The Musical",Madison Square Garden,40.749996,-73.988892
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/17/2016 01:57:38 PM,12/17/2016 03:30:39 PM,Special event on Radio City Music Hall (Manhattan) from 2:00 P.M. until 3:30 P.M. Christmas Spectacular Starring the Radio City Rockettes,Madison Square Garden,40.759902,-73.980393
kids show/performance,Madison Square Garden,Madison Square Garden,,Manhattan,New York,NY,12/17/2016 12:30:45 PM,12/17/2016 08:47:41 PM,Kids show/performance at Madison Square Garden the Theater (Manhattan) Rudolph the Red-Nosed Reindeer: The Musical Not currently scheduled,Madison Square Garden,40.749996,-73.988892
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/17/2016 11:28:43 AM,12/17/2016 12:59:38 PM,Special event on Radio City Music Hall (Manhattan) from 11:30 A.M. until 1:00 P.M. Christmas Spectacular Starring the Radio City Rockettes,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Madison Square Garden,,Manhattan,New York,NY,12/17/2016 10:59:39 AM,12/17/2016 12:27:41 PM,Special event on Madison Square Garden the Theater (Manhattan) from 11:00 A.M. until 12:30 P.M. Rudolph the Red-Nosed Reindeer: The Musical,Madison Square Garden,40.749996,-73.988892
show,Madison Square Garden,Madison Square Garden,,Manhattan,New York,NY,12/16/2016 11:01:31 PM,12/16/2016 11:16:41 PM,Show at Madison Square Garden the Arena (Manhattan) Louis C. K. Not currently scheduled,Madison Square Garden,40.750127,-73.989876
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/16/2016 05:22:39 PM,12/16/2016 05:57:37 PM,Special event on Radio City Music Hall (Manhattan) from 4:30 P.M. until 6:00 P.M. Christmas Spectacular Starring the Radio City Rockettes,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/16/2016 02:18:35 PM,12/16/2016 03:33:31 PM,Special event on Radio City Music Hall (Manhattan) until 3:30 P.M. Christmas Spectacular Starring the Radio City Rockettes,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Madison Square Garden,,Manhattan,New York,NY,12/16/2016 01:59:35 PM,12/16/2016 03:31:40 PM,Special event on Madison Square Garden the Theater (Manhattan) from 2:00 P.M. until 3:30 P.M. Rudolph The Red-Nosed Reindeer,Madison Square Garden,40.749996,-73.988892
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/16/2016 11:33:30 AM,12/16/2016 12:58:29 PM,Special event on Radio City Music Hall (Manhattan) from 11:30 A.M. until 1:00 P.M. Christmas Spectacular Starring the Radio City Rockettes,Madison Square Garden,40.759902,-73.980393
concert,Madison Square Garden,Madison Square Garden,,at Manhattan,New York,NY,12/15/2016 10:30:34 PM,12/15/2016 10:47:29 PM,Concert at Madison Square Garden at the Theater (Manhattan) Andrea Bocelli Not currently scheduled,Madison Square Garden,40.749996,-73.988892
special event,Madison Square Garden,Madison Square Garden,,at Manhattan,New York,NY,12/15/2016 07:27:29 PM,12/15/2016 10:30:34 PM,"Special event, concert on Madison Square Garden at the Theater (Manhattan) from 7:30 P.M. until 10:30 P.M. Andrea Bocelli",Madison Square Garden,40.749996,-73.988892
show,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/15/2016 06:31:27 PM,12/16/2016 11:46:35 PM,Show at Radio City Music Hall (Manhattan) Christmas Spectacular Starring the Radio City Rockettes Not currently scheduled,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/15/2016 05:00:31 PM,12/15/2016 06:31:27 PM,"Special event, show on Radio City Music Hall (Manhattan) from 5:00 P.M. until 6:30 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
fair,Meadowlands Complex,Meadowlands Sports Complex,,,Bergen,NJ,12/15/2016 03:44:30 PM,,"Fair at Meadowlands Sports Complex (East Rutherford) State Fair Meadowlands, Friday June 23rd, 2017 thru Saturday July 8th, 2017, 05:00 PM thru 01:00 AM, Saturday June 24th, 2017 thru Sunday July 9th, 2017, 02:00 PM thru 01:00 AM, Sunday June 25th, 2017 thru Sunday July 9th, 2017, 02:00 PM thru 10:00 PM, Monday July 3rd, 2017 thru Wednesday July 5th, 2017 Monday/ Tuesday, 02:00 PM thru 01:00 AM, Wednesday July 5th, 2017 thru Thursday July 6th, 2017 Wednesday/ Thursday, 06:00 PM thru 11:00 PM",Meadowlands Complex,40.814458,-74.071969
fair,Meadowlands Complex,Meadowlands Sports Complex,,,Bergen,NJ,12/15/2016 03:44:30 PM,,"Fair at Meadowlands Sports Complex (East Rutherford) State Fair Meadowlands, Thursday June 22nd, 2017, 06:00 PM thru 11:00 PM, Friday June 23rd, 2017 thru Saturday July 8th, 2017, 05:00 PM thru 01:00 AM, Saturday June 24th, 2017 thru Sunday July 9th, 2017, 02:00 PM thru 01:00 AM, Sunday June 25th, 2017 thru Sunday July 9th, 2017, 02:00 PM thru 10:00 PM, Monday June 26th, 2017 thru Thursday June 29th, 2017 Monday/ Tuesday/ Wednesday/ Thursday, 06:00 PM thru 11:00 PM, Monday July 3rd, 2017 thru Wednesday July 5th, 2017 Monday/ Tuesday, 02:00 PM thru 01:00 AM, Wednesday July 5th, 2017 thru Thursday July 6th, 2017 Wednesday/ Thursday, 06:00 PM thru 11:00 PM",Meadowlands Complex,40.814458,-74.071969
fair,Meadowlands Complex,Meadowlands Sports Complex,,,Bergen,NJ,12/15/2016 03:44:30 PM,,"Fair at Meadowlands Sports Complex (East Rutherford) State Fair Meadowlands, Thursday June 22nd, 2017, 06:00 PM thru 11:00 PM, Friday June 23rd, 2017 thru Saturday July 8th, 2017, 05:00 PM thru 01:00 AM, Saturday June 24th, 2017 thru Sunday July 9th, 2017, 02:00 PM thru 01:00 AM, Sunday June 25th, 2017 thru Sunday July 9th, 2017, 02:00 PM thru 10:00 PM, Monday June 26th, 2017 thru Thursday June 29th, 2017 Monday/ Tuesday/ Wednesday/ Thursday, 06:00 PM thru 11:00 PM, Monday July 3rd, 2017 thru Wednesday July 5th, 2017 Monday/ Tuesday, 02:00 PM thru 01:00 AM, Wednesday July 5th, 2017 thru Thursday July 6th, 2017 Wednesday/ Thursday, 06:00 PM thru 11:00 PM",Meadowlands Complex,40.814458,-74.071969
special event,Madison Square Garden,Madison Square Garden,,Manhattan,New York,NY,12/14/2016 08:30:21 PM,12/14/2016 11:01:24 PM,"Special event, show on Madison Square Garden the Arena (Manhattan) until 11:00 P.M. Louis C.K.",Madison Square Garden,40.750127,-73.989876
special event,Madison Square Garden,Madison Square Garden,,Manhattan,New York,NY,12/14/2016 06:57:31 PM,12/14/2016 08:31:26 PM,"Special event, kids show/performance on Madison Square Garden the Theater (Manhattan) from 7:00 P.M. until 8:30 P.M. Rudolph The Red-Nosed Reindeer",Madison Square Garden,40.749996,-73.988892
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/14/2016 04:58:20 PM,12/14/2016 06:31:23 PM,Special event on Radio City Music Hall (Manhattan) from 5:00 P.M. until 6:30 P.M. Christmas Spectacular Starring the Radio City Rockettes,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/14/2016 01:57:25 PM,12/14/2016 03:31:23 PM,Special event on Radio City Music Hall (Manhattan) from 2:00 P.M. until 3:30 P.M. Christmas Spectacular Starring the Radio City Rockettes,Madison Square Garden,40.759902,-73.980393
show,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/14/2016 12:31:23 PM,12/14/2016 09:48:22 PM,Show at Radio City Music Hall (Manhattan) Christmas Spectacular Starring the Radio City Rockettes Not currently scheduled,Madison Square Garden,40.759902,-73.980393
concert,Meadowlands Complex,MetLife Stadium,,,Bergen,NJ,12/14/2016 11:58:21 AM,,"Concert at MetLife Stadium (East Rutherford) Coldplay, Tuesday August 1st, 2017, 07:30 PM thru 10:30 PM",Meadowlands Complex,40.811438,-74.076776
concert,Meadowlands Complex,MetLife Stadium,,,Bergen,NJ,12/14/2016 11:58:21 AM,,"Concert at MetLife Stadium (East Rutherford) Coldplay, Tuesday August 1st, 2017, 07:30 PM thru 10:30 PM",Meadowlands Complex,40.811438,-74.076776
concert,Meadowlands Complex,MetLife Stadium,,,Bergen,NJ,12/14/2016 11:58:21 AM,,"Concert at MetLife Stadium (East Rutherford) Coldplay, Tuesday August 1st, 2017, 07:30 PM thru 10:30 PM",Meadowlands Complex,40.811438,-74.076776
special event,Meadowlands Complex,MetLife Stadium,,,Bergen,NJ,12/14/2016 11:56:31 AM,,"Special event at MetLife Stadium (East Rutherford) Monster Energy Supercross, Saturday April 29th, 2017, 04:30 PM thru 08:30 PM",Meadowlands Complex,40.811438,-74.076776
special event,Meadowlands Complex,MetLife Stadium,,,Bergen,NJ,12/14/2016 11:56:31 AM,,"Special event at MetLife Stadium (East Rutherford) Monster Energy Supercross, Saturday April 29th, 2017, 04:30 PM thru 08:30 PM",Meadowlands Complex,40.811438,-74.076776
special event,Madison Square Garden,The Beacon Theatre,,,New York,NY,12/13/2016 07:58:18 PM,12/13/2016 11:01:17 PM,"Special event, concert on The Beacon Theatre (New York) from 8:00 P.M. until 11:00 P.M. Mariah Carey",Madison Square Garden,40.780449,-73.981383
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/13/2016 07:57:17 PM,12/13/2016 09:27:18 PM,"Special event, show on Radio City Music Hall (Manhattan) from 8:00 P.M. until 9:30 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/13/2016 05:54:27 PM,12/13/2016 06:30:25 PM,Special event on Radio City Music Hall (Manhattan) from 5:00 P.M. until 6:30 P.M. Christmas Spectacular Starring the Radio City Rockettes,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/13/2016 02:09:16 PM,12/13/2016 03:27:15 PM,Special event on Radio City Music Hall (Manhattan) from 2:00 P.M. until 3:30 P.M. Christmas Spectacular Starring the Radio City Rockettes,Madison Square Garden,40.759902,-73.980393
kids show/performance,Madison Square Garden,Madison Square Garden,,Manhattan,New York,NY,12/13/2016 12:31:22 PM,12/16/2016 08:46:38 PM,Kids show/performance at Madison Square Garden the Theater (Manhattan) Rudolph The Red-Nosed Reindeer Not currently scheduled,Madison Square Garden,40.749996,-73.988892
special event,Madison Square Garden,Madison Square Garden,,Manhattan,New York,NY,12/13/2016 11:04:23 AM,12/13/2016 12:32:20 PM,"Special event, kids show/performance on Madison Square Garden the Theater (Manhattan) until 12:30 P.M. Rudolph The Red-Nosed Reindeer",Madison Square Garden,40.749996,-73.988892
basketball game,Madison Square Garden,Madison Square Garden,,at Manhattan,New York,NY,12/12/2016 10:01:20 PM,12/12/2016 10:18:17 PM,Basketball game at Madison Square Garden at the Arena (Manhattan) Under Armour Reunion Seton Hall vs. South Carolina Auburn vs. Boston College Not currently scheduled,Madison Square Garden,40.750127,-73.989876
special event,Madison Square Garden,Madison Square Garden,,at Manhattan,New York,NY,12/12/2016 07:06:16 PM,12/12/2016 10:02:14 PM,"Special event, basketball game on Madison Square Garden at the Arena (Manhattan) until 10:00 P.M. Under Armour Reunion Seton Hall vs. South Carolina Auburn vs. Boston College",Madison Square Garden,40.750127,-73.989876
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/12/2016 05:01:22 PM,12/12/2016 06:31:20 PM,"Special event, show on Radio City Music Hall (Manhattan) until 6:30 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/12/2016 01:58:22 PM,12/12/2016 03:31:19 PM,"Special event, show on Radio City Music Hall (Manhattan) from 2:00 P.M. until 3:30 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/12/2016 10:57:13 AM,12/12/2016 12:31:17 PM,"Special event, show on Radio City Music Hall (Manhattan) from 11:00 A.M. until 12:30 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
concert,Meadowlands Complex,MetLife Stadium,,,Bergen,NJ,12/12/2016 09:12:16 AM,,"Concert at MetLife Stadium (East Rutherford) Justin Bieber Purpose Tour, Wednesday August 23rd, 2017 thru Thursday August 24th, 2017 Wednesday/ Thursday, 07:30 PM thru 10:30 PM",Meadowlands Complex,40.811438,-74.076776
concert,Meadowlands Complex,MetLife Stadium,,,Bergen,NJ,12/12/2016 09:12:16 AM,,"Concert at MetLife Stadium (East Rutherford) Justin Bieber Purpose Tour, Wednesday August 23rd, 2017 thru Thursday August 24th, 2017 Wednesday/ Thursday, 07:30 PM thru 10:30 PM",Meadowlands Complex,40.811438,-74.076776
concert,Meadowlands Complex,MetLife Stadium,,,Bergen,NJ,12/12/2016 09:12:16 AM,,"Concert at MetLife Stadium (East Rutherford) Justin Bieber Purpose Tour, Wednesday August 23rd, 2017 thru Thursday August 24th, 2017 Wednesday/ Thursday, 07:30 PM thru 10:30 PM",Meadowlands Complex,40.811438,-74.076776
football game,Meadowlands Complex,MetLife Stadium,,,Bergen,NJ,12/11/2016 11:31:30 PM,12/11/2016 11:48:38 PM,Football game at MetLife Stadium (East Rutherford) NY Giants vs. Dallas Cowboys Not currently scheduled,Meadowlands Complex,40.811438,-74.076776
special event,Madison Square Garden,The Beacon Theatre,,,New York,NY,12/11/2016 08:38:33 PM,12/11/2016 11:01:32 PM,"Special event, concert on The Beacon Theatre (New York) until 11:00 P.M. Mariah Carey",Madison Square Garden,40.780449,-73.981383
special event,Madison Square Garden,Madison Square Garden,,Manhattan,New York,NY,12/11/2016 03:04:32 PM,12/11/2016 04:31:34 PM,"Special event, kids show/performance on Madison Square Garden the Theater (Manhattan) until 4:30 P.M. Rudolph the Red-Nosed Reindeer: The Musical",Madison Square Garden,40.749996,-73.988892
special event,Madison Square Garden,Madison Square Garden,,Manhattan,New York,NY,12/11/2016 11:02:31 AM,12/11/2016 12:32:31 PM,Special event on Madison Square Garden the Theater (Manhattan) until 12:30 P.M. Rudolph the Red-Nosed Reindeer: The Musical,Madison Square Garden,40.749996,-73.988892
special event,Madison Square Garden,The Beacon Theatre,,,New York,NY,12/10/2016 08:00:35 PM,12/10/2016 11:00:37 PM,"Special event, concert on The Beacon Theatre (New York) from 8:00 P.M. until 11:00 P.M. Mariah Carey",Madison Square Garden,40.780449,-73.981383
special event,Madison Square Garden,Madison Square Garden,,Manhattan,New York,NY,12/10/2016 06:59:29 PM,12/10/2016 08:30:34 PM,"Special event, kids show/performance on Madison Square Garden the Theater (Manhattan) from 7:00 P.M. until 8:30 P.M. Rudolph the Red-Nosed Reindeer: The Musical",Madison Square Garden,40.749996,-73.988892
show,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/10/2016 06:01:29 PM,12/11/2016 10:47:30 PM,Show at Radio City Music Hall (Manhattan) Christmas Spectacular Starring the Radio City Rockettes Not currently scheduled,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/10/2016 08:57:28 AM,12/10/2016 10:52:27 PM,"Special event, show on Radio City Music Hall (Manhattan) from 9:00 A.M. until 10:30 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Madison Square Garden,,Manhattan,New York,NY,12/09/2016 07:31:25 PM,12/09/2016 10:31:30 PM,"Special event, concert on Madison Square Garden the Arena (Manhattan) until 10:30 P.M. Z100's Jingle Ball",Madison Square Garden,40.750127,-73.989876
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/09/2016 04:29:30 PM,12/09/2016 06:01:29 PM,"Special event, show on Radio City Music Hall (Manhattan) from 4:30 P.M. until 6:00 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/09/2016 02:01:29 PM,12/09/2016 03:32:33 PM,"Special event, show on Radio City Music Hall (Manhattan) until 3:30 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/09/2016 10:57:26 AM,12/09/2016 12:28:26 PM,"Special event, show on Radio City Music Hall (Manhattan) from 11:00 A.M. until 12:30 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,The Beacon Theatre,,,New York,NY,12/08/2016 08:04:27 PM,12/08/2016 11:01:22 PM,"Special event, concert on The Beacon Theatre (New York) until 11:00 P.M. Mariah Carey",Madison Square Garden,40.780449,-73.981383
show,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/08/2016 06:31:27 PM,12/09/2016 11:47:22 PM,Show at Radio City Music Hall (Manhattan) Christmas Spectacular Starring the Radio City Rockettes Not currently scheduled,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/08/2016 05:05:36 PM,12/08/2016 06:31:26 PM,Special event on Radio City Music Hall (Manhattan) from 5:00 P.M. until 6:30 P.M. Christmas Spectacular Starring the Radio City Rockettes,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/08/2016 01:58:33 PM,12/08/2016 03:27:29 PM,Special event on Radio City Music Hall (Manhattan) from 2:00 P.M. until 3:30 P.M. Christmas Spectacular Starring the Radio City Rockettes,Madison Square Garden,40.759902,-73.980393
basketball game,Madison Square Garden,Madison Square Garden,,Manhattan,New York,NY,12/07/2016 11:00:28 PM,12/07/2016 11:19:20 PM,Basketball game at Madison Square Garden the Arena (Manhattan) New York Knicks vs. Cleveland Cavaliers Not currently scheduled,Madison Square Garden,40.750127,-73.989876
special event,Madison Square Garden,Madison Square Garden,,Manhattan,New York,NY,12/07/2016 06:59:22 PM,12/07/2016 08:31:19 PM,"Special event, kids show/performance on Madison Square Garden the Theater (Manhattan) from 7:00 P.M. until 8:30 P.M. Rudolph the Red-Nosed Reindeer: The Musical",Madison Square Garden,40.749996,-73.988892
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/07/2016 05:14:25 PM,12/07/2016 06:32:28 PM,Special event on Radio City Music Hall (Manhattan) until 6:30 P.M. Christmas Spectacular Starring the Radio City Rockettes,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/07/2016 01:59:18 PM,12/07/2016 03:28:23 PM,Special event on Radio City Music Hall (Manhattan) from 2:00 P.M. until 3:30 P.M. Christmas Spectacular Starring the Radio City Rockettes,Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/07/2016 10:59:21 AM,12/07/2016 12:31:26 PM,"Special event, show on Radio City Music Hall (Manhattan) from 11:00 A.M. until 12:30 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
basketball game,Madison Square Garden,Madison Square Garden,,Manhattan,New York,NY,12/06/2016 11:59:23 PM,12/07/2016 12:18:17 AM,Basketball game at Madison Square Garden the Arena (Manhattan) Jimmy V Classic Purdue vs. Arizona State & Florida vs. Duke Not currently scheduled,Madison Square Garden,40.750127,-73.989876
special event,Madison Square Garden,Madison Square Garden,,Manhattan,New York,NY,12/06/2016 07:03:16 PM,12/07/2016 12:00:24 AM,"Special event, basketball game on Madison Square Garden the Arena (Manhattan) until 11:59 P.M. Jimmy V Classic Purdue vs. Arizona State & Florida vs. Duke",Madison Square Garden,40.750127,-73.989876
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/06/2016 06:29:20 PM,12/06/2016 06:31:18 PM,"Special event, show on Radio City Music Hall (Manhattan) until 6:30 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/06/2016 04:57:25 PM,12/06/2016 06:25:17 PM,"Special event, show on Radio City Music Hall (Manhattan) from 5:00 P.M. until 6:30 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/06/2016 01:58:16 PM,12/06/2016 03:31:19 PM,"Special event, show on Radio City Music Hall (Manhattan) from 2:00 P.M. until 3:30 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
special event,Madison Square Garden,Radio City Music Hall,,,New York,NY,12/06/2016 11:02:18 AM,12/06/2016 12:32:25 PM,"Special event, show on Radio City Music Hall (Manhattan) until 12:30 P.M. Christmas Spectacular Starring the Radio City Rockettes",Madison Square Garden,40.759902,-73.980393
